1, 1
1, 2
1, 3
1, 4
1, 5
2, 2
2, 3
7, 1
7, 2
7, 3
7, 4
7, 5
8, 4
9, 1
9, 2
9, 3
9, 4
9, 5
11, 5
12, 1
12, 2
12, 3
12, 4
12, 5
14, 2
14, 3
14, 4
14, 5
15, 1
15, 2
15, 3
15, 4
15, 5
16, 2
17, 5
18, 2
18, 3
18, 4
18, 5
22, 5
23, 4
25, 5
26, 2
26, 3
26, 5
29, 5
33, 4
35, 5
36, 2
36, 3
36, 4
42, 3
42, 5
43, 3
44, 5
48, 2
51, 3
54, 2
54, 3
54, 5
60, 5
65, 3
65, 4
65, 5
66, 3
67, 1
67, 2
67, 3
67, 4
67, 5
68, 3
68, 4
69, 4
71, 3
74, 4
78, 4
79, 5
80, 1
80, 2
80, 3
80, 4
80, 5
88, 5
90, 1
90, 2
90, 3
90, 4
90, 5
91, 1
91, 2
91, 3
91, 4
91, 5
93, 4
99, 3
100, 4
105, 4
107, 1
107, 2
107, 3
107, 4
107, 5
108, 3
110, 1
110, 2
110, 3
110, 4
110, 5
111, 3
114, 5
122, 2
122, 3
122, 4
122, 5
123, 2
123, 5
124, 5
125, 3
125, 4
125, 5
129, 3
131, 5
133, 5
134, 5
135, 2
137, 5
141, 3
141, 4
147, 4
147, 5
152, 2
152, 3
154, 4
160, 3
162, 2
162, 3
162, 5
163, 1
163, 2
163, 3
163, 4
163, 5
165, 5
168, 2
168, 4
168, 5
169, 1
169, 2
169, 3
169, 4
169, 5
175, 3
176, 2
179, 5
182, 5
183, 4
186, 4
188, 1
188, 4
189, 2
189, 3
189, 4
189, 5
211, 2
213, 3
214, 4
217, 5
218, 2
220, 4
223, 4
234, 3
236, 5
237, 5
238, 2
245, 4
246, 4
247, 3
247, 5
252, 4
256, 5
259, 3
276, 3
276, 4
286, 2
286, 3
297, 5
303, 2
310, 2
327, 3
327, 5
330, 2
330, 3
330, 5
335, 4
336, 3
336, 5
337, 5
340, 1
340, 2
340, 3
340, 4
340, 5
347, 4
353, 5
355, 5
373, 2
373, 3
375, 3
379, 5
384, 2
384, 4
384, 5
385, 3
385, 4
387, 3
397, 1
397, 3
402, 1
402, 4
404, 5
405, 1
406, 3
414, 4
420, 5
424, 3
424, 5
433, 2
448, 3
463, 3
485, 3
488, 4
520, 2
520, 3
520, 5
526, 4
534, 3
537, 3
538, 2
538, 3
538, 4
538, 5
541, 2
549, 5
553, 4
553, 5
572, 2
596, 3
604, 2
605, 2
615, 1
618, 4
627, 3
628, 3
638, 3
638, 4
639, 2
643, 3
656, 3
660, 2
660, 3
661, 5
663, 2
666, 1
670, 1
680, 3
681, 3
683, 3
688, 2
688, 4
702, 4
703, 3
717, 3
719, 5
726, 4
729, 5
732, 3
732, 4
742, 2
742, 3
742, 4
749, 5
753, 3
759, 3
759, 4
764, 1
765, 3
773, 3
773, 4
776, 3
777, 3
780, 3
780, 4
790, 3
798, 4
803, 2
805, 2
805, 3
807, 2
808, 5
823, 3
823, 4
832, 2
832, 5
842, 2
853, 4
855, 2
871, 2
874, 2
875, 3
876, 3
880, 4
881, 3
893, 3
918, 2
918, 3
949, 3
949, 5
960, 4
980, 2
990, 2
991, 3
1005, 2
1007, 5
1016, 2
1017, 3
1019, 3
1025, 2
1033, 3
1042, 3
1056, 5
1058, 4
1060, 3
1080, 5
1082, 3
1092, 1
1093, 1
1095, 4
1097, 2
1100, 4
1109, 2
1110, 4
1111, 4
1112, 3
1113, 4
1114, 3
1115, 4
1116, 2
1116, 3
1116, 4
1116, 5
1117, 2
1118, 3
1119, 1
1120, 2
1121, 2
1121, 3
1122, 2
1123, 3
1124, 2
1125, 5
1126, 1
1127, 2
1127, 5
1128, 3
1128, 4
1129, 3
1130, 3
1131, 3
1132, 2
1133, 5
1134, 3
1135, 3
1135, 4
1136, 3
1137, 3
1138, 5
1139, 3
1140, 4
1141, 3
1142, 4
1143, 1
1144, 1
1145, 4
1146, 3
1147, 2
1148, 3
1149, 3
1150, 2
1151, 2
1151, 3
1152, 5
1153, 5
1154, 1
1155, 3
1155, 4
1156, 2
1156, 3
1156, 4
1157, 3
1158, 3
1159, 3
1160, 3
1161, 2
1162, 2
1163, 3
1164, 4
1165, 3
1166, 3
1166, 4
1167, 4
1168, 5
1169, 2
1170, 4
1171, 5
1172, 5
1173, 5
1174, 3
1175, 4
1176, 4
1177, 4
1178, 3
1179, 3
1180, 4
1181, 3
1182, 3
1182, 4
1183, 3
1183, 4
1184, 3
1185, 2
1186, 1
1187, 4
1188, 2
1188, 4
1189, 2
1190, 2
1191, 4
1192, 4
1193, 4
1194, 1
1195, 3
1196, 4
1197, 3
1198, 3
1199, 4
1200, 3
1201, 3
1202, 3
1203, 3
1204, 2
1205, 4
1206, 3
1207, 5
1208, 3
1209, 3
1210, 3
1210, 5
1211, 4
1212, 4
1213, 3
1214, 3
1215, 2
1216, 4
1217, 3
1218, 4
1219, 4
1220, 5
1221, 4
1222, 4
1223, 5
1224, 2
1225, 3
1226, 3
1227, 3
1228, 3
1228, 4
1229, 3
1230, 5
1231, 2
1232, 2
1233, 2
1234, 3
1235, 2
1236, 5
1237, 2
1237, 3
1238, 5
